species,opler-wright-min,opler-wright-max
Anthocharis_sara,27,40
Agraulis_vanillae,58,82
Brephidium_exilis,13,19
Colias_eurytheme,39,60
Danaus_gilippus,70,88
Danaus_plexippus,76,114
Erynnis_funeralis,33,38
Heliopetes_ericetorum,27,37
Hylephila_phyleus,32,38
Junonia_coenia,36,58
Leptotes_marina,19,26
Lerodea_eufala,27,34
Nymphalis_antiopa,68,87
Nathalis_iole,22,27
Ochlodes_sylvanoides,20,29
Plebejus_acmon,19,24
Pyrgus_albescens,25,30
Papilio_cresphontes,88,144
Papilio_eurymedon,67,89
Papilio_zelicaon,58,74
Phoebis_sennae,48,66
Pieris_rapae,39,50
Poanes_melane,28,34
Pontia_protodice,38,50
Papilio_rutulus,65,88
Strymon_melinus,23,30
Vanessa_annabella,39,47
Vanessa_atalanta,48,65
Vanessa_cardui,46,64